channel_id,name,subject,difficulty,tags,avg_duration,video_count,playlists,notes
1,Rüştü Hoca ile Türkçe,Türkçe,Orta,"kamp; konu anlatımı; soru çözümü; ses-yazım ağırlık",15,90,"TYT Türkçe Kampı; 10 Dakika Serisi; Full Tekrar","Detaylı ve düzenli anlatım; 15–20 dk videolar; kamp ve tekrar serileriyle planlı ilerleme."
2,Önder Hoca,Türkçe,Orta,"konu anlatımı; soru bankası eşlik; seri set",15,50,"2023 Dil Bilgisi Kampı; 2023 Paragraf Kampı; Türkçe Soru Çözümü","Kapsamlı seri mantığı; konu + soru çözümü birlikte; çeşitli kamp listeleri."
3,Kutlu Hoca ile Türkçe,Türkçe,Başlangıç,"kısa videolar; aktif kanal; kamp temelli",18,52,"2023 Türkçe Kampı; Dil Bilgisi Örnekler","Yeni başlayan için uygun; 8–40 dk arası videolar; konu anlatımı ve kamp serileri."
4,Benim Hocam (Kadir Gümüş),Türkçe,Orta,"tahtada konu anlatımı; uzun videolar; video ders defteri",30,64,"Konu Anlatım Serisi; Video Ders Defteri","Beyaz tahta stili; 20–60 dk videolar; ‘Video Ders Defteri’ ile uyumlu çalışma."
5,Türkçenin Matematiği,Paragraf,Başlangıç,"temel tekrar; günlük seri",20,21,"21 Günlük TYT Türkçe Serisi","0’dan 40’a götürmeyi hedefleyen kısa tekrar odaklı seri; yeni sezonları gelebilir."
6,Paraf Akademi TYT Türkçe videolar,Türkçe,Orta,"konu anlatımı; kaynak uyumlu",20,48,"TYT Türkçe Konu Anlatım","Kaynaklarla uyumlu; 15–30 dk videolar; hem konu hem çözüme yönelik içerikler."

7,Rehber Matematik,Matematik,Orta,"kamp; konu anlatımı; soru çözümü; ÖSYM tarzı; temel-orta","20","200","49 Günde TYT Matematik; Bebek Adımlar; Soru Avcısı; Muhtemel Sınav Sorusu; (Ö)TESİ TYT Denemeleri","Geniş seviye aralığına hitap eder; temel için Bebek Adımlar, ilerisi için Soru Avcısı/Muhtemel Sınav Sorusu serileri; güncel kamp videoları."
8,Atölye Matematik,Matematik,Orta,"örnek ağırlıklı; pdf destekli; kamp; konu anlatımı","18","220","Atölye Kazanım; MATH; TYT-AYT Konu Anlatım","Kavram→örnek akışı; videoların açıklamasında PDF çözümler; 15–20 dk bandı; her seviyeye uygun pratik içerik."
9,Matematiğin Güler Yüzü,Matematik,Orta,"kamp; motivasyon; seri ders; kısa-orta videolar","40","120","7 Adımda TYT Kamp; Motivasyon & Rehberlik; Meslek Tanıtımı","Kanalda kamp ve konu anlatım serileri; birçok ders için video ve analiz; yeni başlayanlar için de uygun anlatım."
10,Benim Hocam İlyas Güneş,Matematik,Başlangıç,"uzun konu anlatımı; kamp tekrar; soru çözümü","30","160","TYT Matematik; AYT Matematik; AYT Matematik Tekrar Kampı","TYT ~20–30 dk, AYT ~30–40 dk videolar; konu anlatımı sonrası çok sayıda soru çözümü; temelden düzen kurmak isteyenlere uygun."
11,Şenol Hoca,Matematik,Orta,"her seviye; pdf içerik; konu+çözüm; tekrar","25","200","Sıfırdan Başla Temelini Geliştir; Yeni Nesille İlk Adım; Full Tekrarlar; Sınav İzi","Kısa çözüm videoları (10–15 dk) + konu anlatım (30–40 dk); PDF içerik uyumlu; ÖSYM tarzına yakın soru serileri."
12,Hocalara Geldik,Matematik,Orta,"konu anlatımı; pratik teknik; güncel tekrar","25","199","TYT Matematik; AYT Matematik; TYT Matematik Tam Tekrar; Rehberlik Teknikleri","TYT ~106, AYT ~93 video; özet+ipuçları, dikkat edilmesi gereken noktalar; TYT/AYT tekrar serileri."
13,Mert Hoca,Matematik,Başlangıç,"kamp; problem serisi; tekrar; yazılı hazırlık","20","120","70 Günde TYT Matematik Kampı; AYT Full Tekrar; TYT Full Tekrar; Problemlerle Adım Adım; 90 Günde AYT","Kolay→orta seviye akış; yeni başlayanlar ve tekrar isteyenler için sistemli kamp listeleri."
14,SML Hoca Matematik,Matematik,Orta,"pdf destekli; konu anlatımı; soru çözümü","25","100","SML Hoca Ders Kitabı; Soru Çözümleri","Orta düzey anlatım; ders kitabı ve konu anlatımı videoları birbiriyle uyumlu; seri halinde ilerler."
15,Metin Yayınları,Matematik,Orta,"kaynak uyumlu çözüm; kamp; problem","25","150","2023 TYT Kampı; 345 AYT Deneme Çözümleri; AYT Matematik 101’li Deneme; AYT Kamp + Problemler","Yayınevine ait soru bankası/deneme çözümleri; kamp listeleri ve yeni nesil içerikler; konuya özel çözüm arayanlar için."
16,Eyüp B. Matematik,Matematik,Başlangıç,"rehber listeler; giriş seviye; güncel öneri; konu anlatımı","15","120","2024 YKS Rehberi; 2024 TYT Konu Anlatım; 2024 YKS ÖğRENİYORUM; 2024 YKS GELİŞİYORUM","Temel seviyeden başlayan düzenli listeler; giriş videoları + kaynak önerileri; öğrenciyi adım adım ilerleten yapı."

